,dataset,year1,year2,count1,count2,mapped,Mappend Ratio
24,de,1994-01-01,1995-01-01,89719,92494,84715,0.9442258607429864
25,de,1995-01-01,1996-01-01,92494,93251,91299,0.987080243042792
26,de,1996-01-01,1997-01-01,93251,94037,91232,0.9783487576540734
27,de,1997-01-01,1998-01-01,94037,95118,91125,0.9690334655507938
28,de,1998-01-01,1999-01-01,95118,96863,90311,0.9494627725561934
29,de,1999-01-01,2000-01-01,96863,96854,95257,0.9835112643773102
30,de,2000-01-01,2001-01-01,96854,97348,95087,0.981756045181407
31,de,2001-01-01,2002-01-01,97348,98365,91927,0.944313185684349
32,de,2002-01-01,2003-01-01,98365,99562,95319,0.9690337010115386
33,de,2003-01-01,2004-01-01,99562,100236,96744,0.9716960286052911
34,de,2004-01-01,2005-01-01,100236,102047,96042,0.9581587453609481
35,de,2005-01-01,2006-01-01,102047,103283,99203,0.9721304888923731
36,de,2006-01-01,2007-01-01,103283,102144,98658,0.9658717105263158
37,de,2007-01-01,2008-01-01,102144,103235,98274,0.9621123120300752
38,de,2008-01-01,2009-01-01,103235,103745,99152,0.9604494599699714
39,de,2009-01-01,2010-01-01,103745,106145,99231,0.956489469372018
40,de,2010-01-01,2011-01-01,106145,106435,103135,0.9716425644165999
41,de,2011-01-01,2012-01-01,106435,108088,104201,0.9790106637854089
42,de,2012-01-01,2013-01-01,108088,109846,105443,0.9755291984309081
43,de,2013-01-01,2014-01-01,109846,112181,105606,0.9614005061631739
44,de,2014-01-01,2015-01-01,112181,113216,110213,0.9824569222952193
45,de,2015-01-01,2016-01-01,113216,115518,110649,0.9773265262860373
46,de,2016-01-01,2017-01-01,115518,118795,112127,0.9706452674042141
47,de,2017-01-01,2018-01-01,118795,122329,115353,0.9710257165705627
0,us,1994,1995,283446,292043,280155,0.988389322833979
1,us,1995,1996,292043,304228,280379,0.960060675996343
2,us,1996,1997,304228,311377,300495,0.987729597538688
3,us,1997,1998,311377,318363,296789,0.9531500399836854
4,us,1998,1999,318363,323028,315229,0.9901558912310789
5,us,1999,2000,323028,335823,315716,0.9773641913394504
6,us,2000,2001,335823,341281,330373,0.9837712128115108
7,us,2001,2002,341281,353388,334816,0.9810566659145983
8,us,2002,2003,353388,361507,351151,0.9936698473066431
9,us,2003,2004,361507,369919,356657,0.9865839389002149
10,us,2004,2005,369919,381803,365512,0.9880865811164066
11,us,2005,2006,381803,394474,376630,0.9864511279377061
12,us,2006,2007,394474,404580,391802,0.9932264230342177
13,us,2007,2008,404580,423560,398608,0.9852390132977409
14,us,2008,2009,423560,431425,421055,0.99408584380017
15,us,2009,2010,431425,450968,424419,0.9837607927217941
16,us,2010,2011,450968,452258,447441,0.9921790459633499
17,us,2011,2012,452258,458652,447057,0.9884999270327999
18,us,2012,2013,458652,460842,456408,0.9951074016901703
19,us,2013,2014,460842,470533,454115,0.9854028061678406
20,us,2014,2015,470533,475560,461096,0.9799440209294566
21,us,2015,2016,475560,483202,468468,0.9850870552611658
22,us,2016,2017,483202,487118,479386,0.9921026816941982
23,us,2017,2018,487118,499282,478217,0.9817272200986209
