method,consensus_runs,count,mean,std,min,25%,50%,75%,max
NMI,1,4950.0,0.9539482137165612,0.0062252955299475264,0.9321293272489858,0.9498464949105297,0.9542780076519917,0.958303428375036,0.9739379649651451
NMI,2,4950.0,0.8780962380188378,0.021378050235169952,0.8077533623909166,0.8629101168251178,0.8776366331716093,0.8934042627261092,0.9487359861945098
NMI,4,4950.0,0.9730302009683898,0.0036125492791393415,0.958771904306947,0.9706280911945682,0.9730989769381722,0.975476745130428,0.9852451668181608
NMI,8,4950.0,0.9754184240579152,0.0029782392977549576,0.9655140826674544,0.973369918087247,0.9754114751309916,0.9774866285158462,0.9856503638555317
NMI,16,4950.0,0.9808749407693669,0.002390393694395513,0.9719806175021766,0.979241475809675,0.980952821809598,0.9825456556494871,0.9891043703052218
NMI,32,4950.0,0.9856823884438396,0.002081562925474896,0.9769700914461843,0.9842955345441617,0.9857769691058889,0.9871526620573055,0.9924028295902477
NMI,64,4950.0,0.9893889769138557,0.0017380023483756354,0.9831813491632727,0.9882372825086448,0.9894669881266884,0.9906184216910501,0.9947272399202066
NMI,128,4950.0,0.9917487248418753,0.0014939092077975512,0.9855718102726887,0.990772196526179,0.9917842189724324,0.9928316655929811,0.9963882579098556
NMI,256,4950.0,0.9937524134143364,0.0013127600191767633,0.9891077479927374,0.9928630782771344,0.9938061422622824,0.9946817674357256,0.9975511652948404
NMI,512,4950.0,0.9952155553193063,0.0011692473057362852,0.9898230436108332,0.9944663726214388,0.9952522857007017,0.9960432646150015,0.9986624652135362
NMI,1000,4950.0,0.9964745247057983,0.0010178478335099756,0.9927947319429582,0.9957915091387998,0.9964828794740851,0.997227534693956,0.9993198439404637
Rand,1,4950.0,0.7637695681679997,0.047456180470345534,0.5804665840287773,0.7340578156370473,0.7675112990334247,0.7980923558294132,0.8934268330170501
Rand,2,4950.0,0.4968461726665603,0.13686020288429626,0.12649652690102972,0.40146638892160097,0.5066665330138074,0.5994239376242301,0.8666960077134177
Rand,4,4950.0,0.8492325224292095,0.03328600306116508,0.7381880642889661,0.8263570254073305,0.8497516803530842,0.8742038293124537,0.9425148854692109
Rand,8,4950.0,0.8272229746110757,0.035555415292930125,0.6985204387560241,0.8018122829806913,0.8272756931629777,0.8527726291474855,0.9266824651249147
Rand,16,4950.0,0.852571627776925,0.03417904874192911,0.7135614766189148,0.8319830208470868,0.8556959713694159,0.8766447136743553,0.937318912729927
Rand,32,4950.0,0.8839064927914136,0.03239985964318991,0.7376078707312331,0.8657278800977342,0.8886061351245935,0.9070875867918992,0.9596861769690812
Rand,64,4950.0,0.9079839890871697,0.027522695970785535,0.801037304462003,0.8931516665813974,0.9116910251079222,0.927887723134239,0.9714959034218761
Rand,128,4950.0,0.9213423111491915,0.025296014239290895,0.8139964199842037,0.9067445601091618,0.9234715988532813,0.9397971412777671,0.975354037644594
Rand,256,4950.0,0.9393989304673918,0.023008287277548584,0.8433815473049578,0.9258824638048436,0.9416327348815839,0.9553091194714249,0.9883486792849451
Rand,512,4950.0,0.9521961009150878,0.02103496713221815,0.8462161803608955,0.938071589295229,0.953793404832899,0.9677644118205974,0.9949685291333124
Rand,1000,4950.0,0.9658693770541952,0.016915067263110168,0.911557957934165,0.9548291823961836,0.962106532924003,0.9828982409824376,0.997607957333443
